key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
hijri.gregorian.converter.button.to-gregorian|icon,fa-exchange,FALSE,fa-exchange,FALSE,fa-exchange,FALSE,fa-exchange,FALSE,fa-exchange,FALSE,,FALSE,,FALSE,,FALSE
hijri.gregorian.converter.button.to-gregorian|text,Hijri > Gregorianisch,FALSE,Hijri > Gregorian,FALSE,Hijri > Gregorian,FALSE,Hijra > Gregoriaaninen,FALSE,Hijri > Gregoriansk,FALSE,,FALSE,,FALSE,,FALSE
hijri.gregorian.converter.button.to-hijri|icon,fa-exchange,FALSE,fa-exchange,FALSE,fa-exchange,FALSE,fa-exchange,FALSE,fa-exchange,FALSE,,FALSE,,FALSE,,FALSE
hijri.gregorian.converter.button.to-hijri|text,Gregorianisch > Hijri,FALSE,Gregorian > Hijri,FALSE,Gregorian > Hijri,FALSE,Gregoriaaninen > Hijra,FALSE,Gregoriansk > Hijri,FALSE,,FALSE,,FALSE,,FALSE
hijri.gregorian.converter.mask.splitter.name,Hijri zu Gregorianisch Konverter,FALSE,Hijri to Gregorian converter,FALSE,Hijri to Gregorian converter,FALSE,Hijra - Gregoriaaninen konversio,FALSE,Hijri till gregoriansk konverterare,FALSE,,FALSE,,FALSE,,FALSE
hijri.gregorian.converter.mask.splitter.title|text,Hijri zu Gregorianisch Konverter,FALSE,Hijri to Gregorian converter,FALSE,Hijri to Gregorian converter,FALSE,Hijra - Gregoriaaninen konversio,FALSE,Hijri till gregoriansk konverterare,FALSE,,FALSE,,FALSE,,FALSE
mask.splitter.panel.spliter_name.hijri-gregorian-converter-mask-splitter-end|text,-,FALSE,-,FALSE,-,FALSE,-,FALSE,-,FALSE,,FALSE,,FALSE,,FALSE
